2024-12-22 13:31:51,138 INFO package: mysql.connector.plugins
2024-12-22 13:31:51,138 INFO plugin_name: caching_sha2_password
2024-12-22 13:31:51,138 INFO AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2024-12-22 13:32:26,186 INFO Block IDs to ignore: {17962373, 17963269, 19409169, 12884626, 22920853, 17962399, 17962292, 17962807, 19394871, 19394874, 22526909, 12884542, 18913349, 12884556, 14909406, 17962862, 19952369, 19938035, 17962356, 17962997, 17962233, 21726719}
2024-12-22 13:32:26,186 INFO Processing batch from block_id 0 to 1000000
2024-12-22 13:32:27,216 INFO Processing batch from block_id 1000000 to 2000000
2024-12-22 13:32:27,728 INFO Processing batch from block_id 2000000 to 3000000
2024-12-22 13:32:28,236 INFO Processing batch from block_id 3000000 to 4000000
2024-12-22 13:32:28,472 INFO Processing batch from block_id 4000000 to 5000000
2024-12-22 13:32:28,746 INFO Processing batch from block_id 5000000 to 6000000
2024-12-22 13:32:29,575 INFO Block ID: 5860316, Extrinsic Index: 1, Event Index: 2, Transaction: {'from': '15W6rEHTso3PZzSFi4sqwr3TuTrKaxv17p2bakL6Sjj4Dynn', 'to': '16kvim4sqin7Ph3A5c38SmRbo5c9H1HhJ4mUdgKL7WW72Rnp', 'amount': 1.0848999985}
2024-12-22 13:32:29,575 INFO Block ID: 5860418, Extrinsic Index: 2, Event Index: 8, Transaction: {'from': '15W6rEHTso3PZzSFi4sqwr3TuTrKaxv17p2bakL6Sjj4Dynn', 'to': '16kvim4sqin7Ph3A5c38SmRbo5c9H1HhJ4mUdgKL7WW72Rnp', 'amount': 1.0848999985}
2024-12-22 13:32:29,575 INFO Block ID: 5875467, Extrinsic Index: 1, Event Index: 2, Transaction: {'from': '11yq23kvaXHNN2ZQhrkr6roW5grDwhW3bs9xFoTMS2DQjz5', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 2.7999999985}
2024-12-22 13:32:29,575 INFO Block ID: 5899976, Extrinsic Index: 1, Event Index: 2, Transaction: {'from': '12c4T9Avh6p4RS3f4To8Kg4dmXw2RGxBR3o6ksrB5ZNB7E7u', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 1.0004}
2024-12-22 13:32:29,583 INFO Block ID: 5900012, Extrinsic Index: 1, Event Index: 2, Transaction: {'from': '12Bzcvnyb1n2tfdBXD7Upzaeu8EXW3SaSxqYgQpTPCXWKyZz', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 1.0009}
2024-12-22 13:32:29,583 INFO Block ID: 5900027, Extrinsic Index: 1, Event Index: 2, Transaction: {'from': '12BrABpjNNzCqdMi3ifoJ7GvAkfoBkNUUsfKBmyVRJ9idSg4', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 1.0009}
2024-12-22 13:32:29,584 INFO Block ID: 5900027, Extrinsic Index: 2, Event Index: 7, Transaction: {'from': '12bYifTUCK8XL1eweXQV8DFDXNnGKeQgCHTiEu1dCBfn69Tm', 'to': '11DErQuB1E1FYC8nVbJd4AtK3EtjKhjRAGQ7sHcdeTt1SGN', 'amount': 1.0008}
2024-12-22 13:32:29,585 INFO Block ID: 5900067, Extrinsic Index: 2, Event Index: 9, Transaction: {'from': '12bnUAWssXbJzqvrq6fZeoSznn2aubV8nkJ6xTJHpvKKouUd', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,586 INFO Block ID: 5900067, Extrinsic Index: 3, Event Index: 14, Transaction: {'from': '12bPuZ1mC1DojGwTeVMhZq5D2pJYdYpA2bTYtnNkp2in7XEc', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,586 INFO Block ID: 5900067, Extrinsic Index: 4, Event Index: 19, Transaction: {'from': '12bQt4vu4NcoFezVvoHQsaiT5fhKMV6QK5Ev9hh7sscbeG9J', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0009}
2024-12-22 13:32:29,586 INFO Block ID: 5900985, Extrinsic Index: 1, Event Index: 2, Transaction: {'from': '11NxYQn7VTy6TpBparQ9iXw9aJMurbBwQz6k2KymaXud1HQ', 'to': '14KFpWkocrwoFonGfSm2u9KzbMeFtEp9qGhAfeu5s2PhPa7K', 'amount': 1.0004}
